"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","arrival_time_sort","timepoint"
"296400921","11:21:00","11:21:00","130","3","Oceanside","0","11:21:00","1"
"296400921","11:27:00","11:27:00","174","4","Oceanside","0","11:27:00","1"
"296400921","11:35:00","11:35:00","128","5","Oceanside","0","11:35:00","1"
"296400921","11:40:00","11:40:00","145","6","Oceanside","0","11:40:00","1"
"296400921","11:45:00","11:45:00","154","7","Oceanside","0","11:45:00","1"
"296400921","11:51:00","11:51:00","156","8","Oceanside","0","11:51:00","1"
"296400921","11:59:00","11:59:00","140","9","Oceanside","0","11:59:00","1"
"296400921","12:09:00","12:09:00","141","10","Oceanside","0","12:09:00","1"
"296400921","12:15:00","12:15:00","153","11","Oceanside","0","12:15:00","1"
"296400921","12:25:00","12:25:00","152","12","Oceanside","0","12:25:00","1"
"296400921","12:28:00","12:28:00","133","13","Oceanside","0","12:28:00","1"
"296400921","12:55:00","12:55:00","144","14","Oceanside","0","12:55:00","1"
"296400923","14:00:00","14:00:00","107","1","Oceanside","0","14:00:00","1"
"296400923","14:24:00","14:24:00","143","2","Oceanside","0","14:24:00","1"
"296400923","14:31:00","14:31:00","130","3","Oceanside","0","14:31:00","1"
"296400923","14:37:00","14:37:00","174","4","Oceanside","0","14:37:00","1"
"296400923","14:45:00","14:45:00","128","5","Oceanside","0","14:45:00","1"
"296400923","14:50:00","14:50:00","145","6","Oceanside","0","14:50:00","1"
"296400923","14:55:00","14:55:00","154","7","Oceanside","0","14:55:00","1"
"296400923","15:01:00","15:01:00","156","8","Oceanside","0","15:01:00","1"
"296400923","15:09:00","15:09:00","140","9","Oceanside","0","15:09:00","1"
"296400923","15:19:00","15:19:00","141","10","Oceanside","0","15:19:00","1"
"296400923","15:25:00","15:25:00","153","11","Oceanside","0","15:25:00","1"
"296400923","15:38:00","15:38:00","152","12","Oceanside","0","15:38:00","1"
"296400923","15:41:00","15:41:00","133","13","Oceanside","0","15:41:00","1"
"296400923","16:08:00","16:08:00","144","14","Oceanside","0","16:08:00","1"
"296500082","04:49:00","04:49:00","185","1","Oceanside","0","04:49:00","1"
